"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S2.1","C1.T7.H9_S2.2","C1.T8.H10_S2.1","C1.T8.H10_S2.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C3.T6.H25_S2.1","C3.T6.H25_S2.2","C3.T7.H26_S2.1","C3.T7.H26_S2.2","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T2.H29_S2.1","CT1.T2.H29_S2.2","CT1.T3.H30_S2.1","CT1.T4.H31_S2.2","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T6.H33_S2.1","CT1.T6.H33_S2.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","C1.T7.H9_S2.3","C2.T8.H18_S2.3","C2.T9.H19_S2.3","C3.T6.H25_S2.3","C3.T7.H26_S2.3","CT1.T1.H28_S2.3","CT1.T2.H29_S2.3","CT1.T4.H31_S2.3","CT1.T5.H32_S2.3","CT1.T7.H34_S2.3","CT1.T8.H35_S2.4","CT2.T4.H39_S2.3","CT2.T8.H43_S2.3","Family"
"1",2787,2431,2014,1506,1555,1756,1008,1027,1143,0,0,0,0,0,28,0,0,473,2285,359,1153,171,426,163,498,318,653,19,32,77,958,0,23,0,21,123,85,40,144,0,85,0,5347,0,1338,0,234,261,0,0,0,0,125,0,"Clausocalanidae"
"2",730,633,546,413,500,516,318,346,321,10,79,0,367,13,146,0,118,0,0,0,0,96,175,0,0,0,0,121,341,0,0,66,252,0,374,668,558,305,869,0,509,29,415,96,0,0,215,0,0,166,51,97,521,12,"Rhincalanidae"
"3",454,312,281,89,84,92,19,16,33,0,0,0,4,8,16,0,0,18,62,9,17,0,4,90,554,21,64,93,333,123,271,12,57,0,41,76,132,1,3,11,8,0,43,0,7,0,0,45,0,66,0,0,0,0,"Eucalanidae"
"4",11996,7825,6157,3485,5519,4433,2254,3070,5225,0,156,159,577,664,2500,2537,19145,27,170,79,297,231,319,8276,19321,12429,45,89,272,1353,9443,0,322,408,10007,0,530,2899,8372,229,329,0,3597,23613,0,0,42,16438,0,78,23,3305,6595,0,"Euphausiidae"
"5",481,364,221,133,136,104,14,34,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,141,148,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,"Oithonidae"
"6",54825,47483,41869,26088,31441,31601,20107,24184,20106,163,2536,1083,9772,1879,7502,988,4094,480,2731,4470,11356,3353,5504,277,914,7649,2105,382,1163,1954,11577,16704,51658,2327,50992,16483,14695,8827,22473,4042,28282,713,7020,4284,1012,582,3135,390,0,736,17497,21011,19765,996,"Calanidae"
"7",2667,2377,2005,1065,1322,1274,618,592,1013,0,0,0,0,0,0,0,0,7,0,0,0,0,6,9,67,0,11,0,0,0,0,0,2,0,0,799,738,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,"Paracalanidae"
"8",59721,52311,47020,30296,36763,35862,23015,27240,23665,2670,71643,634,6779,6111,23037,522,1444,2744,17206,1016,2869,28195,45008,12609,32053,7350,12089,10580,26884,3457,24743,146,404,490,7860,51438,45808,89,249,882,4453,32598,44997,1490,10388,80,42241,22226,323,16700,0,2085,169,146,"Metridinidae"
"9",199,160,155,71,102,98,0,28,86,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,154,0,38,45,66,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,"Salpidae"
"10",572,116,252,0,0,171,0,0,6,0,45,0,3,0,20,0,143,193,583,0,30,20,50,263,1480,225,693,35,65,464,1252,0,162,0,178,41,47,0,12,0,0,0,42,33,92,0,12,79,0,0,0,19,0,0,"other"
